user_id,user_nick,collecting_date
hbj122,琯?∠룹쿇?먦깋?? , 
heomy66,?섏쿋, 
4mahp,鍮꾨쭚, 
zkzkdhxhr090,?⑥긽?? , 
elshelre,?곗솗, 
